Species,Numerical Rating,Damage,Rating
Agonis flexuosa,3,,ES
Archirhodomyrtus beckleri ,2,0.9385,HS
Archirhodomyrtus beckleri ,2,0.9755,HS
Archirhodomyrtus beckleri ,2,0.9143,HS
Asteromyrtus brassii,0,,RT
Austromyrtus dulcis,1,,RT-MS-HS
Austromyrtus tenuifolia,0,,RT
Backhousia angustifolia,0,,RT
Backhousia bancroftii,0,,RT
Backhousia citriodora,1.5,,MS-HS
Backhousia enata,0.5,,RT-MS
Backhousia gundarara,0,,RT
Backhousia hughesii,1,,MS
Backhousia leptopetala,1,,RT-MS-HS 
Backhousia myrtifolia,0.5,,RT-MS
Backhousia oligantha,1.5,,MS-HS
Backhousia sciadophora,0,,RT
Backhousia subargentea,0,,RT 
Baeckea linifolia,1,0.11,MS
Callistemon formosus,0,,RT
Callistemon pachyphyllus,0,,RT
Callistemon polandii,2,,HS
Callistemon salignus,0,,RT
Callistemon sieberi,2,,HS
Callistemon viminalis,1.5,,MS-HS
Chamelaucium uncinatum,3,,ES
Corymbia citriodora,0,0.121212121,RT
Corymbia ficifolia x C. ptychocarpa,0,,RT
Corymbia henryi,0,,RT
Corymbia torelliana,0,,RT
Darwinia citriodora,1,,MS
Decaspermum humile,3,0.3333,ES
Decaspermum humile,3,1,ES
Decaspermum humile,3,1,ES
Decaspermum humile,0,,RT
Eucalyptus carnea,1,,RT-MS-HS
Eucalyptus cloeziana,0,,RT
Eucalyptus curtisii,1,,RT-MS-HS
Eucalyptus grandis,0.5,0.23,RT-MS
Eucalyptus planchoniana,0.5,,RT-MS
Eucalyptus tereticornis,0,,RT
Eucalyptus tindaliae,1,,MS
Eugenia natalitia,1,,MS
Eugenia reinwardtiana,3,0.5,ES
Eugenia uniflora,1,,MS
Eugenia zeyheri,1,,MS
Gossia bamagensis,0,,RT
Gossia bidwillii,0,,RT
Gossia floribunda,0,,RT
Gossia hillii,2.5,1,HS-ES
Gossia hillii,2.5,0.9687,HS-ES
Gossia hillii,2.5,1,HS-ES
Gossia lewisensis,1.5,,MS-HS
Gossia macilwraithensis,1,,MS
Gossia myrsinocarpa,1.5,,MS-HS
Gossia punctata,1,,MS
Gossia acmenoides,2,,HS
Gossia fragrantissima,1,,MS
Gossia gonoclada,2,,HS
Gossia inophloia,3,,ES
Homoranthus melanostictus,1,,MS
Homoranthus virgatus,1,,MS
Lenwebbia lasioclada,0,,RT
Lenwebbia sp. Main Range (P.R.Sharpe+ 4877),3,,ES
Leptospermum liversidgei,1,,MS
Leptospermum madidum,1,,MS
Leptospermum petersonii,0,,RT
Leptospermum semibaccatum,0.5,,RT-MS
Lindsayomyrtus racemoides,0,,RT
Lithomyrtus obtusa,0,,RT
Lophostemon suaveolens,0,,RT
Melaleuca cheelii,0,,RT
Melaleuca comboynensis,0.5,,RT-MS
Melaleuca fluviatilis,2,,HS
Melaleuca leucadendra,1,,RT-MS-HS
Melaleuca linariifolia,0,,RT
Melaleuca nervosa,2,,HS
Melaleuca nesophila,0,,RT
Melaleuca nodosa,2.5,,HS-ES
Melaleuca quinquenervia,1.5,0.45,RT-MS-HS-ES
Melaleuca saligna,1,,MS
Melaleuca viridiflora,2,,HS
Metrosideros collina,0,,RT
Metrosideros collina x villosa,0,,RT
Metrosideros kermadecensis,0,,RT
Metrosideros thomasii,0,,RT
Myrciaria cauliflora,0,,RT
Myrtus communis,1.5,,MS-HS
Neofabricia myrtifolia,0.5,,RT-MS
Osbornia octodonta,0,,RT
Pilidiostigma glabrum,0.5,,RT-MS
Pilidiostigma rhytispermum,0.5,,RT-MS
Pilidiostigma tetramerum,1,,MS
Rhodamnia acuminata,0,,RT
Rhodamnia arenaria,1,,MS
Rhodamnia argentea,1.5,,MS-HS
Rhodamnia australis,2,,HS
Rhodamnia blairiana,0.5,,RT-MS
Rhodamnia costata,1,,RT-MS-HS
Rhodamnia dumicola,2,,HS
Rhodamnia maideniana,3,1,ES
Rhodamnia maideniana,3,0.9342,ES
Rhodamnia sessiliflora,2,,MS-HS-ES
Rhodamnia spongiosa,2,,HS
Homoranthus papillatus,1,,MS
Hypocalymma angustifolium ,0,,RT
Lenwebbia prominens,2,,HS
Lenwebbia sp. Blackall Range,1.5,,RT-MS-HS-ES
Leptospermum barneyense,0,,RT
Leptospermum luehmannii,0,,RT
Leptospermum trinervium,1,,MS
Mitrantia bilocularis,1,,MS
Rhodamnia angustifolia,3,,ES
Rhodamnia glabrescens,1,,MS
Rhodamnia pauciovulata,1,,MS
Rhodamnia rubescens,2.5,0.12,HS-ES
Rhodamnia rubescens,2.5,0.53,HS-ES
Rhodomyrtus canescens,2,,HS
Rhodomyrtus effusa,1,,MS
Rhodomyrtus macrocarpa,1,,MS
Rhodomyrtus pervagata,1.5,,MS-HS
Rhodomyrtus sericea,1,,MS
Rhodomyrtus tomentosa,1.5,,MS-HS
Rhodomyrtus trineura,1,,MS
Rhodomyrtus psidioides,3,0.57,ES
Ristantia waterhousei,0,,RT
Ristantia pachysperma,1.5,,MS-HS
Sphaerantia discolor,1,,MS
Stockwellia quadrifida,2,,HS
Syzygium angophoroides,1,,MS
Syzygium anisatum,1,,RT-MS-HS
Syzygium apodophyllum,0,,RT
Syzygium argyropedicum,0,,RT
Syzygium armstrongii,0,,RT
Syzygium australe,0.5,,RT-MS
Syzygium bamagense,1,,MS
Syzygium banksii,1,,MS
Syzygium boonjee,0,,RT
Syzygium canicortex,0,,RT
Syzygium claviflorum,1,,MS
Syzygium cormiflorum,0,,RT
Syzygium corynanthum,1,,RT-MS-HS
Syzygium cryptophlebium,1,,MS
Syzygium cumini,1,,MS
Syzygium dansiei,0,,RT
Syzygium endophloium,0,,RT
Syzygium erythrocalyx,0,,RT
Syzygium eucalyptoides,2,,HS
Syzygium eucalyptoide,1,,MS
Syzygium floribundum,0,,RT
Syzygium forte,0,,RT
Syzygium forte ,0,,RT
Syzygium hedraiophyllum,0,,RT
Syzygium hemilamprum,0,,RT
Syzygium ingens,0,,RT
Syzygium jambos,3,,ES
Syzygium kuranda,1,,MS
Syzygium luehmannii,1,,MS
Syzygium maraca,0,,RT
Syzygium minutiflorum,0,,RT
Syzygium nervosum,2,,HS
Syzygium oleosum,1,,RT-MS-HS
Syzygium pseudofastigiatum,0,,RT
Syzygium puberulum,1,,MS
Syzygium smithii,0.5,0.0323,RT-MS
Syzygium smithii,0.5,0.1333,RT-MS
Syzygium smithii,0.5,0.21,RT-MS
Syzygium suborbiculare,1,,MS
Syzygium tierneyanum,0,,RT
Syzygium unipunctatum,0.5,,RT-MS
Syzygium wilsonii ,0,,RT
Syzygium wilsonii x luehmannii,0,,RT
Syzygium xerampelinum,1,,MS
Syzygium aqueum,0,,RT
Syzygium hodgkinsoniae,1,,RT-MS-HS
Syzygium macilwraithianum,1,,RT-MS-HS
Syzygium moorei,0,,RT
Syzygium mulgraveanum,0,,RT
Syzygium paniculatum,0,,RT
Syzygium rubrimolle,0,,RT
Thryptomene saxicola,0.5,,RT-MS
Tristania neriifolia,1,,MS
Tristaniopsis exiliflora,2,,HS
Tristaniopsis laurina,0,,RT
Uromyrtus metrosideros,1,,MS
Uromyrtus tenella,0,,RT
Xanthostemon chrysanthus,0.5,,RT-MS
Xanthostemon fruticosus,2,,HS
Xanthostemon youngii,1,,MS
Xanthostemon oppositifolius,2,,HS
